base_label,c,k,cycle,cycle_start_linear_residual,pre_linear_residual,post_linear_residual,pre_residual_ratio_vs_cycle_start,post_residual_ratio_vs_cycle_start,cycle_start_objective,pre_objective,post_objective,delta_z_norm,delta_e_norm,e_post_norm,e_rel_to_exact
fixed_path_completed_outer19,5,50,1,3951577.9128119433,26875779324.49626,26875778396.374516,6801.277848364997,6801.277613491292,109.57278813537108,72258799.56958628,72058390.84775712,3.7566407553623793,3.7566407553623793,3.171336431694074,1.1655299419401182
fixed_path_completed_outer19,5,50,2,26875778396.374516,586103740.242634,586103929.2269136,0.02180787963044442,0.02180788666221395,72058390.84775712,32773.57973839525,32349.578528656097,5.005587448448688,5.005587448448689,2.4796219823288257,0.6205512307521693
fixed_path_completed_outer19,5,50,3,586103929.2269136,204895816.94100228,204895852.46383625,0.3495895637677523,0.34958962437617375,32349.578528656097,4208.867767116491,4190.527196160332,6.806564790146581,6.806564790146581,2.3384060210811226,0.37510072563074914
fixed_path_completed_outer19,5,50,4,204895852.46383625,88632511.5784193,88632545.6833676,0.43257347824579695,0.4325736446959612,4190.527196160332,980.25031130487,1070.4687088447185,10.107310268663625,10.107310268663625,1.3684457372056957,0.6181637103843574
fixed_path_completed_outer19,5,50,5,88632545.6833676,341227630.153718,341227711.16179425,3.8499134547339455,3.8499143687105852,1070.4687088447185,12069.140522098614,11619.053011417725,15.680972466663698,15.680972466663697,2.853105801856809,0.14647837139908426
fixed_path_completed_outer19,5,100,1,3951577.9128119433,744554252.6977886,744554228.2003053,188.41947928794949,188.41947308853148,109.57278813537108,51446.72809024311,51554.31291426347,2.8170302664416993,2.8170302664416993,1.4051637117131575,0.7970837883277946
fixed_path_completed_outer19,5,100,2,744554228.2003053,59380382.32182708,59380387.86054465,0.07975293144914106,0.07975293888811241,51554.31291426347,473.608141441189,445.02810903111896,3.690532547713412,3.690532547713412,1.1360260940945097,0.7186695642624904
fixed_path_completed_outer19,5,100,3,59380387.86054465,71042904.42540891,71042918.14900951,1.1964035093919188,1.1964037405052728,445.02810903111896,578.92840490902,574.5135166719876,5.4284643011068,5.428464301106801,1.3922445535957235,0.5798520546323009
fixed_path_completed_outer19,5,100,4,71042918.14900951,47537479.340629324,47537492.276566766,0.6691374816687776,0.669137663755012,574.5135166719876,280.14226725260437,311.817789232585,7.9548483002340165,7.954848300234017,1.2085057910215706,0.6522209261595562
fixed_path_completed_outer19,5,100,5,47537492.276566766,81434283.7973888,81434306.63987552,1.7130538422938897,1.7130543228090709,311.817789232585,755.2089755719501,711.6008177091347,12.050007511996322,12.050007511996323,1.9765819295954856,0.4051191080182884
fixed_path_completed_outer19,5,200,1,3951577.9128119433,204457601.68065655,204457628.48620704,51.74074918724416,51.74075597074966,109.57278813537108,4010.9642348331113,3990.868006916707,2.6743037895828663,2.6743037895828663,1.264797496435104,0.7515444131695126
fixed_path_completed_outer19,5,200,2,204457628.48620704,20056291.94267358,20056293.17972275,0.09809510210584586,0.09809510815623967,3990.868006916707,152.31511954561378,147.35916881462165,3.516457176640641,3.516457176640642,1.0510249532728726,0.6962028105372802
fixed_path_completed_outer19,5,200,3,20056293.17972275,12112627.655183561,12112629.929538434,0.6039315214752461,0.6039316348738115,147.35916881462165,120.70406794325675,121.09495808400055,5.194678847160009,5.19467884716001,1.3742068453249399,0.5797969516992201
fixed_path_completed_outer19,5,200,4,12112629.929538434,4024415.0671496848,4024409.790591118,0.33224948591350545,0.3322490502889881,121.09495808400055,113.34465555075465,110.37861581526677,7.3762069118386355,7.376206911838636,1.4050346413738755,0.586309785653063
fixed_path_completed_outer19,5,200,5,4024409.790591118,4165824.571147226,4165829.321532082,1.0351392596466515,1.0351404400395796,110.37861581526677,109.99978509779442,109.31906317339153,10.797113521740242,10.797113521740242,1.880996958231524,0.43626337850842223
fixed_path_completed_outer19,5,300,1,3951577.9128119433,118251017.86239398,118251033.77478981,29.925012354937103,29.925016381783134,109.57278813537108,1410.0284097023668,1404.3953860991433,2.648434720363375,2.6484347203633747,1.1691593099970645,0.727765000825321
fixed_path_completed_outer19,5,300,2,118251033.77478981,3713005.1268824846,3713005.263669911,0.03139934602139663,0.03139934717815122,1404.3953860991433,110.46898859820489,109.64756343883562,3.441529634559332,3.4415296345593327,1.0901166063749417,0.6751891055916381
fixed_path_completed_outer19,5,300,3,3713005.263669911,6331854.840836293,6331853.522380013,1.7053180351750776,1.705317680083666,109.64756343883562,112.5344210286802,112.01888005178795,5.0129476039844425,5.012947603984443,1.429439082398311,0.5634695516521084
fixed_path_completed_outer19,5,300,4,6331853.522380013,3678462.7030291576,3678459.0693098847,0.5809456409608319,0.5809450670815941,112.01888005178795,112.16932982761399,110.03147978734317,6.976339736307246,6.976339736307247,1.5164979318695697,0.5499232228211266
fixed_path_completed_outer19,5,300,5,3678459.0693098847,3847139.599410476,3847143.251613264,1.0458563020336225,1.0458572948957745,110.03147978734317,108.98565736908581,108.85499446303625,10.000321898051409,10.00032189805141,1.8836515683236559,0.4376493036795685
